Iter 140, Training Accuracy: 0.971000000834465, Training Loss: 0.34399774484336376, Testing Accuracy: 0.973999997973442, Testing Loss: 0.3162807149346918
Iter 141, Training Accuracy: 0.9833333432674408, Training Loss: 0.2159041753038764, Testing Accuracy: 0.9803333461284638, Testing Loss: 0.2569724105997011
Iter 142, Training Accuracy: 0.9710000038146973, Training Loss: 0.3737151422537863, Testing Accuracy: 0.9696666657924652, Testing Loss: 0.39482668600976467
Iter 143, Training Accuracy: 0.9753333359956742, Training Loss: 0.3188274693675339, Testing Accuracy: 0.9780000001192093, Testing Loss: 0.2832615580409765
Iter 144, Training Accuracy: 0.9743333369493484, Training Loss: 0.30206427769735456, Testing Accuracy: 0.9763333380222321, Testing Loss: 0.2807174790650606
Iter 145, Training Accuracy: 0.9820000141859054, Training Loss: 0.23607085272669792, Testing Accuracy: 0.9750000059604644, Testing Loss: 0.3140210248529911
Iter 146, Training Accuracy: 0.9760000050067902, Training Loss: 0.3036033599637449, Testing Accuracy: 0.9810000091791153, Testing Loss: 0.2467424653004855
Iter 147, Training Accuracy: 0.9783333361148834, Training Loss: 0.3010336987208575, Testing Accuracy: 0.973666661977768, Testing Loss: 0.3577430807054043
Iter 148, Training Accuracy: 0.9760000079870224, Training Loss: 0.2982850233092904, Testing Accuracy: 0.979333347082138, Testing Loss: 0.2552970754913986
Iter 149, Training Accuracy: 0.975666669011116, Training Loss: 0.29776323423720896, Testing Accuracy: 0.9773333370685577, Testing Loss: 0.27690996462479234
Iter 150, Training Accuracy: 0.9763333380222321, Training Loss: 0.31550966249778867, Testing Accuracy: 0.9766666680574417, Testing Loss: 0.31181113654747605
Iter 151, Training Accuracy: 0.9773333340883255, Training Loss: 0.27524105506017804, Testing Accuracy: 0.974333330988884, Testing Loss: 0.3116547907702625
Iter 152, Training Accuracy: 0.9716666728258133, Training Loss: 0.3615052825771272, Testing Accuracy: 0.9699999988079071, Testing Loss: 0.3851943854242563
Iter 153, Training Accuracy: 0.9723333358764649, Training Loss: 0.3355331616476178, Testing Accuracy: 0.972333338856697, Testing Loss: 0.31419315794482827
Iter 154, Training Accuracy: 0.978666678071022, Training Loss: 0.26109842862933874, Testing Accuracy: 0.9729999959468841, Testing Loss: 0.3361056144349277
Iter 155, Training Accuracy: 0.9773333430290222, Training Loss: 0.27783837262541056, Testing Accuracy: 0.9760000050067902, Testing Loss: 0.2994175557978451
Iter 156, Training Accuracy: 0.9773333340883255, Training Loss: 0.27001415635459125, Testing Accuracy: 0.9756666779518127, Testing Loss: 0.3073747232556343
Iter 157, Training Accuracy: 0.9743333369493484, Training Loss: 0.33339334873016924, Testing Accuracy: 0.9759999990463257, Testing Loss: 0.30682477226946503
Iter 158, Training Accuracy: 0.9843333423137665, Training Loss: 0.20831462927162647, Testing Accuracy: 0.9813333362340927, Testing Loss: 0.24469170905649662
Iter 159, Training Accuracy: 0.9576666533946991, Training Loss: 0.5389189179986715, Testing Accuracy: 0.9546666532754898, Testing Loss: 0.5699529470875859
Iter 160, Training Accuracy: 0.978666678071022, Training Loss: 0.27567632822319865, Testing Accuracy: 0.9793333381414413, Testing Loss: 0.2628453900106251
Iter 161, Training Accuracy: 0.9713333398103714, Training Loss: 0.35345003521069884, Testing Accuracy: 0.975, Testing Loss: 0.30775866337353364
Iter 162, Training Accuracy: 0.9746666699647903, Training Loss: 0.3273297706618905, Testing Accuracy: 0.9770000040531158, Testing Loss: 0.3013336113654077
Iter 163, Training Accuracy: 0.9756666719913483, Training Loss: 0.2955879857763648, Testing Accuracy: 0.9766666769981385, Testing Loss: 0.2921406014356762
Iter 164, Training Accuracy: 0.9763333410024643, Training Loss: 0.292886306066066, Testing Accuracy: 0.9713333308696747, Testing Loss: 0.3504440985270776
Iter 165, Training Accuracy: 0.9706666588783264, Training Loss: 0.37912061298266053, Testing Accuracy: 0.9669999927282333, Testing Loss: 0.4247632189653814
Iter 166, Training Accuracy: 0.9790000081062317, Training Loss: 0.27062230417504907, Testing Accuracy: 0.9820000112056733, Testing Loss: 0.23538063350133598
